run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild
20260917-080028	aquatic	1	17543	2033543	193	WEASEL	MALE	160	84	91	4,31,-1,-1,-1,51	surface	27443	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17543	2033543	194	OLM_GIANT	FEMALE	190	157	38	4,30,-1,11,-1,12	cavern	27100	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17543	2033543	195	OLM_GIANT	FEMALE	8	190	55	3,31,-1,2,-1,10	cavern	26621	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	17543	2033543	196	PLUMP_HELMET_MAN	FEMALE	0	168	29	4,30,-1,20,-1,14	cavern	28914	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	17543	2033543	197	PLUMP_HELMET_MAN	MALE	0	166	29	4,30,-1,20,-1,14	cavern	22989	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	17543	2033543	198	PLUMP_HELMET_MAN	MALE	0	166	29	4,30,-1,20,-1,14	cavern	22158	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	17543	2033543	199	PLUMP_HELMET_MAN	FEMALE	0	167	29	4,30,-1,20,-1,14	cavern	25607	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	17543	2033543	200	PLUMP_HELMET_MAN	FEMALE	0	166	29	4,30,-1,20,-1,14	cavern	22450	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	17948	2033948	162	TROLL	FEMALE	17	8	51	3,31,-1,2,-1,26	cavern	19176	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	163	MAGMA_CRAB	MALE	36	13	16	4,31,-1,29,-1,0	cavern	22438	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	164	MAGMA_CRAB	MALE	30	7	16	4,31,-1,29,-1,0	cavern	25233	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	165	MAGMA_CRAB	MALE	31	8	15	4,31,-1,29,-1,0	cavern	19737	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	166	DEMON_15	FEMALE	156	21	3	4,30,-1,38,-1,0	cavern	22517	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	167	DEMON_15	MALE	176	6	3	4,30,-1,38,-1,0	cavern	21011	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	168	DEMON_15	FEMALE	175	6	3	4,30,-1,38,-1,0	cavern	23557	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	169	DEMON_15	FEMALE	177	6	3	4,30,-1,38,-1,0	cavern	28111	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	170	JABBERER	MALE	28	148	30	4,31,-1,20,-1,21	cavern	22165	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	181	CROCODILE_CAVE	FEMALE	135	191	53	4,30,-1,2,-1,9	cavern	28107	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	191	BIRD_OSPREY	FEMALE	143	25	93	4,31,-1,-1,-1,52	surface	28212	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	192	REACHER	MALE	30	177	32	3,31,-1,20,-1,27	cavern	22612	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	193	WEASEL	MALE	149	59	91	4,31,-1,-1,-1,51	surface	27038	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	194	OLM_GIANT	FEMALE	185	160	38	4,30,-1,11,-1,12	cavern	26695	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	195	OLM_GIANT	FEMALE	9	182	55	3,31,-1,2,-1,10	cavern	26216	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	196	PLUMP_HELMET_MAN	FEMALE	18	163	29	4,30,-1,20,-1,14	cavern	28535	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	197	PLUMP_HELMET_MAN	MALE	7	172	29	4,30,-1,20,-1,14	cavern	22610	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	198	PLUMP_HELMET_MAN	MALE	6	169	29	4,30,-1,20,-1,14	cavern	21979	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	17948	2033948	199	PLUMP_HELMET_MAN	FEMALE	5	171	29	4,30,-1,20,-1,14	cavern	25428	0	1	0	0	0	-1	0	1
